id;configurationType;key;value;name;description;type;listOptions;defaultValue;functionName;numberMin;numberMax;isAdvanced;order;isShownOnCard;isShownOnSessionScreen
1;pod;pass;;Senha do equipamento;Senha do equipamento;string;;;;;;true;;;
2;pod;hour;;Horario do equipamento (horas);Horario do equipamento (horas);number;;;;0;23;true;;;
3;pod;min;;Horário do equipamento (minutos);Horário do equipamento (minutos);number;;;;0;60;true;;;
4;pod;sec;;Horario do equipamento (segundos);Horario do equipamento (segundos);number;;;;0;60;true;;;
5;pod;day;;Horario do equipamento (dia);Horario do equipamento (dia);number;;;;1;31;true;;;
6;pod;month;;Horario do equipamento (mês);Horario do equipamento (mês);number;;;;1;12;true;;;
7;pod;year;;Horario do equipamento (ano);Utilizar apenas os dois últimos números do ano.;number;;;;0;99;true;;;
8;pod;machineState;;Estado da máquina;Troca a maquina de estado(indica pra qual estado vai) 0 valor varia de 0 a 6;list;"[
  { ""name"": 'TURN_OFF', ""value"": 0 },
  { ""name"": 'PRE_SESSAO', ""value"": 1 },
  { ""name"": 'SESSAO', ""value"": 2 },
  { ""name"": 'SESSAO_LIMPEZA', ""value"": 3 },
  { ""name"": 'SESSAO_NOTURNO', ""value"": 4 },
  { ""name"": 'SESSAO_REPOUSO', ""value"": 5 },
  { ""name"": 'DELAY_SESSAO', ""value"": 6 },
]";;;0;6;;;true;true
9;pod;sessionTime;;Duração da sessão (em minutos);Duração da sessão (em minutos);number;;;;5;1440;;;true;true
10;pod;initialMusicTime;;Duração da música inicial (em minutos);Duração da música inicial (em minutos) a session time, onde 0 significa desabilitado;number;;;;;;;;;true
11;pod;finalMusicTime;;Duração da música Final (em minutos);"Duração da música Final (em minutos)
0 a session time, onde 0 significa desabilitado
O tempo somado de initial music time + final music time nao pode ser maior que session time";number;;;;;;;;;true
12;pod;ledPower;;Intensidade da luz;"   * Duração da música Final (em minutos)
   * 0 a session time, onde 0 significa desabilitado
   * o tempo somado de initial music time + final music time nao pode ser maior que session time";number;;;;0;100;;;;true
13;pod;ledR;;Tom vermelho;Cor do led R;number;;;;0;255;true;;;
14;pod;ledG;;Tom verde;Cor do led G;number;;;;0;255;true;;;
15;pod;ledB;;Tom azul;Cor do led Azul;number;;;;0;255;true;;;
16;pod;initialMusicTime;;Música do início da sessão;"   * Música de início da sessão
   * Nome da musica inicial da mesma forma como foi lido no comando get";string;;;;;;;;;true
